year,month,Population,GDP,Renewable_energy(%),Price,Gas Consumption(GWh/d)
2021,12,447207489,17088620744318.824,23.08,70.345,178231.3
2021,11,447207489,17088620744318.824,23.08,92.515,118789.5
2021,10,447207489,17088620744318.824,23.08,64.865,27864.2
2021,09,447207489,17088620744318.824,23.08,97.775,9427.5
2021,08,447207489,17088620744318.824,23.08,50.34,12639.8
2021,07,447207489,17088620744318.824,23.08,40.76,14561.0
2021,06,447207489,17088620744318.824,23.08,34.62,6949.7
2021,05,447207489,17088620744318.824,23.08,24.93,17215.2
2021,04,447207489,17088620744318.824,23.08,23.29,44518.3
2021,03,447207489,17088620744318.824,23.08,19.0,97901.7
2021,02,447207489,17088620744318.824,23.08,15.7,174963.5
2021,01,447207489,17088620744318.824,23.08,19.82,261168.6
2020,12,447319916,15300141971364.803,22.09,19.12,172250.7
2020,11,447319916,15300141971364.803,22.09,15.14,91826.6
2020,10,447319916,15300141971364.803,22.09,14.06,32228.2
2020,09,447319916,15300141971364.803,22.09,13.29,18697.9
2020,08,447319916,15300141971364.803,22.09,11.24,19388.5
2020,07,447319916,15300141971364.803,22.09,6.03,30822.3
2020,06,447319916,15300141971364.803,22.09,6.17,11104.5
2020,05,447319916,15300141971364.803,22.09,4.38,14139.7
2020,04,447319916,15300141971364.803,22.09,6.22,14578.1
2020,03,447319916,15300141971364.803,22.09,6.9,94083.2
2020,02,447319916,15300141971364.803,22.09,8.88,135189.9
2020,01,447319916,15300141971364.803,22.09,9.76,199528.4
2019,12,446446444,15691850452107.32,19.885,12.05,90608.7
2019,11,446446444,15691850452107.32,19.885,16.33,52825.1
2019,10,446446444,15691850452107.32,19.885,16.14,19053.1
2019,09,446446444,15691850452107.32,19.885,16.39,13714.5
2019,08,446446444,15691850452107.32,19.885,12.79,11546.4
2019,07,446446444,15691850452107.32,19.885,11.0,12890.3
2019,06,446446444,15691850452107.32,19.885,10.12,10992.6
2019,05,446446444,15691850452107.32,19.885,11.21,12317.3
2019,04,446446444,15691850452107.32,19.885,14.39,21730.3
2019,03,446446444,15691850452107.32,19.885,14.21,56505.3
2019,02,446446444,15691850452107.32,19.885,17.82,120186.6
2019,01,446446444,15691850452107.32,19.885,19.85,198716.2
2018,12,446208557,15978719985091.496,19.096,21.98,136412.6
2018,11,446208557,15978719985091.496,19.096,24.69,84350.4
2018,10,446208557,15978719985091.496,19.096,24.34,15861.5
2018,09,446208557,15978719985091.496,19.096,27.33,11543.1
2018,08,446208557,15978719985091.496,19.096,25.84,9232.7
2018,07,446208557,15978719985091.496,19.096,22.11,9643.1
2018,06,446208557,15978719985091.496,19.096,21.88,7739.3
2018,05,446208557,15978719985091.496,19.096,22.58,10447.6
2018,04,446208557,15978719985091.496,19.096,20.56,13018.8
2018,03,446208557,15978719985091.496,19.096,18.23,142172.9
2018,02,446208557,15978719985091.496,19.096,17.35,224433.5
2018,01,446208557,15978719985091.496,19.096,17.88,177969.0
