,month,year,price
0,December,2021,70.345
1,November,2021,92.515
2,October,2021,64.865
3,September,2021,97.775
4,August,2021,50.34
5,July,2021,40.76
6,June,2021,34.62
7,May,2021,24.93
8,April,2021,23.29
9,March,2021,19.0
10,February,2021,15.7
11,January,2021,19.82
12,December,2020,19.12
13,November,2020,15.14
14,October,2020,14.06
15,September,2020,13.29
16,August,2020,11.24
17,July,2020,6.03
18,June,2020,6.17
19,May,2020,4.38
20,April,2020,6.22
21,March,2020,6.9
22,February,2020,8.88
23,January,2020,9.76
24,December,2019,12.05
25,November,2019,16.33
26,October,2019,16.14
27,September,2019,16.39
28,August,2019,12.79
29,July,2019,11.0
30,June,2019,10.12
31,May,2019,11.21
32,April,2019,14.39
33,March,2019,14.21
34,February,2019,17.82
35,January,2019,19.85
36,December,2018,21.98
37,November,2018,24.69
38,October,2018,24.34
39,September,2018,27.33
40,August,2018,25.84
41,July,2018,22.11
42,June,2018,21.88
43,May,2018,22.58
44,April,2018,20.56
45,March,2018,18.23
46,February,2018,17.35
47,January,2018,17.88
