,day,month,month_no,year,price
0,03,January,01,2022,80.435
1,04,January,01,2022,88.74
2,05,January,01,2022,91.52
3,06,January,01,2022,96.5
4,07,January,01,2022,88.175
5,10,January,01,2022,84.605
6,11,January,01,2022,78.735
7,12,January,01,2022,75.155
8,13,January,01,2022,85.46
9,14,January,01,2022,86.97
10,17,January,01,2022,78.22
11,18,January,01,2022,78.335
12,19,January,01,2022,75.6
13,20,January,01,2022,75.205
14,21,January,01,2022,78.98
15,24,January,01,2022,93.0
16,25,January,01,2022,93.58
17,26,January,01,2022,91.835
18,27,January,01,2022,92.3
19,28,January,01,2022,92.062
20,31,January,01,2022,84.67
21,01,February,02,2022,76.165
22,02,February,02,2022,77.35
23,03,February,02,2022,80.225
24,04,February,02,2022,82.65
25,07,February,02,2022,79.595
26,08,February,02,2022,77.3
27,09,February,02,2022,74.415
28,10,February,02,2022,74.355
29,11,February,02,2022,77.425
30,14,February,02,2022,80.77
31,15,February,02,2022,70.92
32,16,February,02,2022,69.795
33,17,February,02,2022,74.915
34,18,February,02,2022,73.76
35,21,February,02,2022,71.72
36,22,February,02,2022,79.79
37,23,February,02,2022,88.89
38,24,February,02,2022,134.315
39,25,February,02,2022,94.422
40,28,February,02,2022,98.595
41,01,March,03,2022,121.675
42,02,March,03,2022,165.545
43,03,March,03,2022,160.825
44,04,March,03,2022,192.55
45,07,March,03,2022,227.2
46,08,March,03,2022,214.555
47,09,March,03,2022,155.88
48,10,March,03,2022,126.4
49,11,March,03,2022,131.23
50,14,March,03,2022,114.52
51,15,March,03,2022,115.44
52,16,March,03,2022,102.625
53,17,March,03,2022,105.09
54,18,March,03,2022,105.045
55,21,March,03,2022,96.302
56,22,March,03,2022,98.745
57,23,March,03,2022,117.0
58,24,March,03,2022,111.61
59,25,March,03,2022,101.27
60,28,March,03,2022,102.545
61,29,March,03,2022,108.38
62,30,March,03,2022,118.97
63,31,March,03,2022,125.905
64,01,April,04,2022,112.15
65,04,April,04,2022,109.525
66,05,April,04,2022,108.565
67,06,April,04,2022,106.79
68,07,April,04,2022,104.565
69,08,April,04,2022,103.88
70,11,April,04,2022,100.135
71,12,April,04,2022,102.22
72,13,April,04,2022,105.325
73,14,April,04,2022,95.62
74,18,April,04,2022,95.62
75,19,April,04,2022,93.77
76,20,April,04,2022,94.23
77,21,April,04,2022,100.06
78,22,April,04,2022,94.875
79,25,April,04,2022,92.835
80,26,April,04,2022,103.21
81,27,April,04,2022,107.425
82,28,April,04,2022,100.142
83,29,April,04,2022,99.45
84,02,May,05,2022,97.05
85,03,May,05,2022,99.425
86,04,May,05,2022,103.82
87,05,May,05,2022,106.51
88,06,May,05,2022,101.71
89,09,May,05,2022,93.785
90,10,May,05,2022,98.8
91,11,May,05,2022,94.01
92,12,May,05,2022,106.7
93,13,May,05,2022,96.88
94,16,May,05,2022,92.86
95,17,May,05,2022,94.175
96,18,May,05,2022,94.54
97,19,May,05,2022,91.025
98,20,May,05,2022,87.9
99,23,May,05,2022,83.29
100,24,May,05,2022,84.505
101,25,May,05,2022,88.08
102,26,May,05,2022,85.97
103,27,May,05,2022,86.875
104,31,May,05,2022,94.005
105,01,June,06,2022,85.55
106,02,June,06,2022,83.945
107,03,June,06,2022,83.1
108,06,June,06,2022,82.56
109,07,June,06,2022,79.61
110,08,June,06,2022,79.405
111,09,June,06,2022,84.88
112,10,June,06,2022,82.465
113,13,June,06,2022,83.4
114,14,June,06,2022,97.04
115,15,June,06,2022,120.33
116,16,June,06,2022,124.365
117,17,June,06,2022,117.74
118,21,June,06,2022,125.56
119,22,June,06,2022,127.17
120,23,June,06,2022,133.345
121,24,June,06,2022,128.505
122,27,June,06,2022,129.46
123,28,June,06,2022,129.175
124,29,June,06,2022,139.588
125,30,June,06,2022,144.515
126,01,July,07,2022,147.785
127,05,July,07,2022,165.075
128,06,July,07,2022,171.0
129,07,July,07,2022,183.185
130,08,July,07,2022,175.21
131,11,July,07,2022,164.52
132,12,July,07,2022,172.61
133,13,July,07,2022,180.505
134,14,July,07,2022,175.035
135,15,July,07,2022,159.565
136,18,July,07,2022,157.26
137,19,July,07,2022,154.455
138,20,July,07,2022,155.04
139,21,July,07,2022,155.6
140,22,July,07,2022,159.865
141,25,July,07,2022,176.615
142,26,July,07,2022,199.92
143,27,July,07,2022,205.225
144,28,July,07,2022,198.93
145,29,July,07,2022,190.915
